t,v
1516383302,1690
1516383511,1809
1516383729,1731
1516383943,1699
1516384153,1671
1516384362,1734
1516394746,1794
1516394959,1810
1516395170,1734
1516395378,1671
1516395588,1739
1516395803,1732
1516396020,1728
1516396228,1744
1516396438,1812
1516396654,1705
1516396865,1654
1516397073,1776
1516397283,1721
1516397491,1763
1516397709,1810
1516397917,1683
1516408305,1679
1516408513,1813
1516408732,1719
1516408943,1731
1516409153,1698
1516409362,1808
1516409572,1734
1516409788,1661
1516410003,1699
1516410211,1806
1516410421,1743
1516410637,1679
1516410847,1769
1516411059,1746
1516411270,1810
1516421654,1747
1516421864,1716
1516422072,1775
1516422282,1813
1516422490,1686
1516422708,1727
1516422917,1727
1516423128,1683
1516423336,1809
1516423546,1731
1516423762,1699
1516423978,1667
1516424186,1743
1516424397,1712
1516424605,1775
1516424823,1814
1516435212,1787
1516435422,1813
1516435638,1680
1516435849,1744
1516436062,1803
1516436272,1762
1516436481,1666
1516436699,1797
1516436907,1709
1516437118,1671
1516437326,1813
1516437536,1722
1516437752,1759
1516437965,1728
1516438173,1728
1516448565,1706
1516448781,1803
1516448995,1679
1516449203,1813
1516449413,1731
1516449630,1757
1516449840,1812
1516450054,1734
1516450264,1702
1516450472,1799
1516450690,1744
1516450899,1680
1516451109,1803
1516451318,1712
1516451528,1670
1516451744,1759
1516462194,1810
1516462402,1687
1516462621,1745
1516462829,1728
1516463043,1814
1516463252,1691
1516463462,1691
1516463678,1733
1516463888,1733
1516464102,1657
1516464312,1791
1516464521,1718
1516464738,1694
1516464951,1671
1516465162,1778
1516465370,1723
1516475801,1808
1516476012,1696
1516476222,1806
1516476430,1711
1516476649,1655
1516476857,1760
1516477067,1712
1516477276,1788
1516477486,1813
1516477702,1680
1516477912,1782
1516478121,1723
1516478331,1682
1516478539,1813
1516478757,1735
1516489188,1733
1516489398,1697
1516489614,1793
1516489824,1815
1516490036,1815
1516490246,1727
1516490455,1724
1516490672,1808
1516490880,1678
1516491092,1755
1516491300,1734
1516491510,1701
1516491727,1810
1516491942,1798
1516492151,1712
1516492361,1674
1516502779,1815
1516502995,1809
1516503203,1695
1516503413,1697
1516503630,1734
1516503840,1705
1516504049,1814
1516504260,1723
